pca1,pca2,pca3,pca4,pca5,pca6,pca7
-34530.08535,-54.13251729,-18.78551712,-34.5873696,-11.24357116,0.122147045,0.067357541
-34527.11021,-57.18246856,-29.82552687,-64.8707354,11.81793876,0.255512386,0.029363123
-34476.10483,-56.23596708,-29.61092768,-56.07033808,10.38837666,0.118345809,0.033741681
-34954.10345,-55.78158712,-29.31749884,-53.85522334,10.03378057,0.073484855,0.035645188
-34933.99712,-37.10523097,-24.36185887,116.2971935,-45.94836451,-2.03678518,0.164502271
-34920.81088,-71.60048775,570.7884883,-58.56800322,-10.59512819,-0.466244951,-0.14361148
-34914.1009,-55.79799084,-28.98930676,-53.39642364,-18.39369396,0.629206684,0.076095857
-34912.60814,1062.791504,-1.382573738,-197.8552258,11.6886407,4.348362792,-0.017144887
-34895.07108,-49.97939165,-27.90585689,-0.921869605,1.4378265,-0.756755529,0.063233872
-34842.09856,-55.44024439,-28.90335892,-49.82731305,-20.99925873,0.614807895,0.080655291
-25428.92636,-18.51273235,-10.03438924,208.2484521,-69.200441,-3.127497495,0.204675473
-25925.10071,-60.04761376,-30.35283893,-55.25431419,-24.23876132,0.962481258,0.069883634
-28725.98085,-42.0425889,119.7030142,20.44335772,23.20882721,-1.706947561,-0.022338215
-29107.19578,1132.560391,33.57350841,463.3663316,-78.36261795,-6.295110158,0.287255224
-28416.09482,-58.90958583,-20.09689147,-52.83667472,-22.50558019,0.814842461,0.068480639
-28415.09266,-58.45547559,-20.03466784,-48.77227593,-19.11507623,0.670722028,0.064992114
-22184.09049,-58.91060722,-34.92979319,-31.20176707,6.219357221,-0.013404711,0.029194598
-22183.09349,-59.45107085,-35.0637463,-36.10643065,7.015767641,0.063659737,0.0266503
-21030.07258,-57.47580694,-22.98800494,-10.85091119,7.052484795,-0.411819092,0.028031604
-22020.03624,-41.35657945,-2.873100095,17.65287087,-39.18528758,-0.068237595,0.096981751
-21405.94774,-70.50880176,285.3139405,-58.83528293,-21.08781324,0.511564559,2.009757172
-20829.02219,-47.27162939,-27.90806176,80.59992395,18.47112428,-2.352802085,0.040573504
-21286.03778,-39.25848634,-25.83678049,34.25822336,-37.0154962,-0.370431934,0.105584063
-21833.1056,-62.38633845,-35.46274515,-60.7739303,-26.44858396,1.20127255,0.066420039
-23892.08623,-60.77191117,-9.191164586,-48.65874503,-23.12526702,0.819873709,0.059476133
-23105.09744,-61.60540742,-24.65153434,-56.36566666,-33.14436014,1.206746504,0.075530289
-23635.95888,-34.2659891,-25.77892278,186.8577052,12.36923039,-4.298071783,0.084821152
-17197.0597,-56.26272534,-29.14670568,14.3749024,0.849152528,-0.677720535,0.040409099
-16540.09298,-62.88707042,-31.2260921,-42.87773956,-15.18078771,0.738773957,0.048268619
-16956.09319,-62.76838625,-27.80253466,-43.02367213,8.16555708,0.263460443,0.011752577
-17522.09821,-62.80152754,-37.27338184,-47.39940017,-22.59052085,0.96152579,0.058435032
-16918.24002,1123.007605,8.198371457,419.7684502,33.75982222,-7.409168442,0.103422587
-16352.05968,-45.07839089,-34.85550445,8.486650713,-0.506150877,-0.495442196,0.041149518
-17862.05909,-44.32530538,-34.09719352,9.287334138,-0.62009123,-0.539822318,0.043723885
-20297.04069,-41.36962965,-13.88876684,21.73458575,-15.64574087,-0.558926106,0.065774314
-12789.09592,-65.54849046,-29.68401504,-51.11221726,-21.95579526,1.100590916,0.046140852
-12787.09939,-65.76728857,-32.80700594,-53.84744558,-17.48585025,1.068981186,0.040101502
