latitude,longitude,bedrock_depth,land_district_code,utm_zone_code,coordinate_acquisition_code,aquifer_lithology_code
48.674131305492644,-123.59479655267181,57.12419019870995,2862.0,110.0,2,0
49.88365595369903,-119.45298846121885,128.88736280741082,1722.0,132.0,20,0
48.99793420908218,-123.58398018349422,1.0,272.0,110.0,12,2
49.18745687211495,-122.95610352964992,45.95689841118125,1332.0,110.0,2,0
52.91599854009382,-122.45729764819615,142.63038307828603,30.0,110.0,12,0
48.3621869141663,-123.65756326431587,21.0,3080.0,110.0,12,2
49.01742906255922,-123.8298044501026,7.368904968792863,1892.0,110.0,42,6
52.97135690104855,-122.44542819512897,221.63294873479018,30.0,110.0,12,0
52.468032141740906,-121.96140440246705,90.0,30.0,110.0,6,2
50.041780695694165,-124.98471852753497,103.6763864021932,2652.0,110.0,0,6
50.027716440634975,-119.39932289342516,122.43783399838627,1722.0,132.0,12,0
