well_tag_number,latitude,longitude,latitude_orig,longitude_orig,licence_status,diameter,bedrock_depth,finished_well_depth,static_water_level
97913,-121.92479061139952,49.11999772390342,-121.918982999415,49.1235050003516,0,72.0,73.19552579612204,105.28120309952212,6.781203099522114
103922,-121.90235684169501,49.098406987631044,-121.901703999562,49.0941240000353,0,42.0,38.59851745322002,145.79540444847387,100.79540444847387
103924,-121.90235684169501,49.098406987631044,-121.901709000295,49.0938990001633,0,42.0,39.02931506979411,465.6996591622175,190.69965916221744
103943,-121.90235684169501,49.098406987631044,-121.904086999492,49.0978710001974,0,42.0,7.703195482469216,365.7031954824692,40.70319548246921
105726,-121.88077448532243,49.121183247607775,-121.877711000463,49.1156989997762,0,42.0,2.0744137704050876,374.0744137704051,58.07441377040509
101571,-121.93843044040932,49.101863832851876,-121.940467000192,49.0987320002295,0,42.0,188.88406040893506,95.39725044848522,74.39725044848522
103459,-121.93445253096091,49.1530275332354,-121.926809999859,49.1477599998522,0,72.0,31.618337386980553,188.62174982428732,2.621749824287309
101908,-121.90235684169501,49.098406987631044,-121.903013999901,49.0968350004416,0,42.0,23.271436648226025,345.5441714158513,80.54417141585127
101345,-121.89002091085905,49.156115462010625,-121.883960000192,49.1475500000129,0,0.0,9.573326391670832,57.100635204562494,4.32067002646867
107441,-121.9033202535242,49.14583140164333,-121.904989999759,49.1481000001708,0,72.0,33.803112161845895,195.12778165231217,5.377781652312164
114030,-121.88077448532243,49.121183247607775,-121.886996000007,49.1220939999479,0,42.0,17.30057033804927,487.3005703380493,53.30057033804927
110885,-121.87048458688628,49.10456142319759,-121.868591000264,49.1153940003229,0,42.0,26.835186517434174,404.8351865174342,24.835186517434174
110887,-121.8952399194827,49.108136127795035,-121.894415999952,49.1058390002514,0,42.0,13.8143351582392,410.8143351582392,100.8143351582392
111757,-121.90235684169501,49.098406987631044,-121.899249999429,49.0997830003183,0,42.0,8.696755487842083,592.6967554878421,99.69675548784208
117660,-121.94080665361831,49.146047596432226,-121.938277099521,49.1490569997133,0,6.0,62.31331515574178,131.42321871993232,10.423218719932317
119207,-121.84007221466713,49.10129772605597,-121.833379999507,49.104050000215,0,42.0,117.23910450174338,206.23910450174338,94.23910450174338
118002,-121.93904210673458,49.12717673022286,-121.930447100192,49.1338761998414,0,6.0,103.45255899094265,34.203626429376875,6.203626429376876
116603,-121.88716760006456,49.09189154171944,-121.893004999662,49.094131000418,0,42.0,43.47328492213298,467.20521139922647,99.48378497972047
117331,-121.93904210673458,49.12717673022286,-121.939259999355,49.1281199997703,0,6.0,107.00150024135411,43.316557930380284,13.816557930380284
116187,-121.87048458688628,49.10456142319759,-121.868821999396,49.1106820001412,0,42.0,53.09007304755257,503.09007304755255,13.370020307282083
115725,-121.87053646766034,49.135432985027414,-121.872805999546,49.1339439995547,0,6.0,20.17101913072317,152.3595463433376,8.859546343337605
116395,-121.86730620673431,49.09307352302181,-121.872562999675,49.0943470002556,0,42.0,67.857770634514,212.72248956206013,45.697496299250275
116403,-121.93904210673458,49.12717673022286,-121.93562800033,49.1289580003112,0,110.0,110.21249241662122,65.42456353749687,11.158121210938434
116408,-121.87053646766034,49.135432985027414,-121.871826999442,49.1346580003515,0,42.0,21.01524756434057,107.96556770939843,7.095241686398229
116414,-121.87053646766034,49.135432985027414,-121.862849000202,49.1345879995597,0,42.0,51.13066464055824,84.71077044042958,7.4365846699538185
116419,-121.827407562285,49.130295189487654,-121.84667199948,49.1227419998693,0,42.0,112.85039763066855,76.76865051217153,58.37288703518322
116420,-121.87137617128568,49.146388192111665,-121.867111000016,49.1478890000637,0,72.0,20.35502259080049,214.35897238456414,7.842925642480238
33268,-121.84013692330241,49.143989696053815,-121.840405000654,49.1405180000476,0,0.0,103.20068475617026,81.7793964485905,43.779396448590504
32965,-121.87137617128568,49.146388192111665,-121.878413000368,49.1465420002988,0,0.0,10.14522614570254,62.83892412163444,2.8389241216344425
30195,-121.85651322479055,49.14924475086882,-121.859656000358,49.1464580001775,0,0.0,53.709636998686,31.33419640096327,1.3341964009632696
35721,-121.84013692330241,49.143989696053815,-121.8374200004,49.1503199996688,0,0.0,89.84812012306256,119.38640205050154,18.364547674169255
34610,-121.87106767967258,49.159594745227814,-121.873196999836,49.1576820000511,0,0.0,10.45104925780736,63.14702296113101,6.147022961131007
34669,-121.84013692330241,49.143989696053815,-121.833690999779,49.1432570004181,0,0.0,159.8392826269373,195.8392826269373,89.83928262693729
35922,-121.81254363976241,49.14529496730127,-121.807600999462,49.1517160003505,0,0.0,25.72306853415163,83.72894218288778,140.25989535853904
42338,-121.85753859607445,49.156639776651254,-121.858746999342,49.15679400003,0,0.0,58.55840252892412,57.51619303069016,3.51619303069016
41894,-121.84013692330241,49.143989696053815,-121.841831000071,49.1423130002608,0,0.0,101.83271417336583,123.7774031642088,30.7774031642088
43206,-121.81254363976241,49.14529496730127,-121.805351000489,49.1437680000394,0,0.0,25.45263745326531,214.4526374532653,181.92417988849607
42675,-121.87106767967258,49.159594745227814,-121.872945000046,49.1566630003739,0,0.0,10.210300185440746,20.915728654466122,9.915728654466122
45682,-121.81254363976241,49.14529496730127,-121.808927999493,49.1455320004222,0,0.0,50.260075660504576,379.2600756605046,303.2600756605046
45241,-121.84013692330241,49.143989696053815,-121.838280999589,49.1463619996295,0,0.0,102.9117474095379,34.52427612622995,9.02427612622995
50523,-121.81254363976241,49.14529496730127,-121.810281000127,49.1411290002489,0,0.0,-0.4120520409959616,424.58794795900405,296.58794795900405
50526,-121.83145200601795,49.15710432370357,-121.833682999637,49.1576500004236,0,0.0,70.88826797121719,59.221586778187586,5.221586778187584
55447,-121.80672404612076,49.164941096316156,-121.802499000131,49.1551179998827,0,0.0,22.996845458443097,640.793881753891,41.907222579941944
72431,-121.84013692330241,49.143989696053815,-121.840704000007,49.1471330003082,0,0.0,92.7121551210775,42.47469198470403,4.4746919847040285
88987,-121.83145200601795,49.15710432370357,-121.830550000091,49.1525000003391,0,0.0,76.28810564738242,79.6008861662746,4.419807656848796
94229,-121.88077448532243,49.121183247607775,-121.880274000105,49.1242060004244,0,42.0,5.076509644930352,316.07650964493035,85.07650964493035
93281,-121.80672404612076,49.164941096316156,-121.803052000473,49.1543949998096,0,42.0,23.537948671534803,459.5651837149157,91.34668802513994
100332,-121.88077448532243,49.121183247607775,-121.879798000243,49.1209810000955,0,42.0,43.443100387293896,597.4436934311146,59.443693431114625
101052,-121.84013692330241,49.143989696053815,-121.843450999413,49.1398649998068,0,72.0,99.9509130080358,109.97924056024794,10.47924056024794
97916,-121.79181328383346,49.16283554523125,-121.789304000435,49.1534869998258,0,42.0,0.4720298056880321,101.47202980568804,2.472029805688032
101993,-121.88716760006456,49.09189154171944,-121.889519000554,49.0901390001284,0,42.0,42.00772393690553,161.40874380067712,117.47759079709215
103151,-121.85651322479055,49.14924475086882,-121.858809999438,49.1462599996977,0,72.0,55.703032261522594,95.20010266556439,4.200102665564389
108454,-121.81254363976241,49.14529496730127,-121.819506000597,49.1418440004076,0,42.0,45.979815406941704,244.3762081539304,129.3762081539304
109192,-121.827407562285,49.130295189487654,-121.82899999978,49.1315999996818,0,0.0,79.22508758108299,78.05816500257399,37.667134758666755
109193,-121.827407562285,49.130295189487654,-121.824819999641,49.1316099997526,0,156.0,59.99132646780487,135.68593966696062,22.685939666960635
109760,-121.827407562285,49.130295189487654,-121.82910700038,49.1277560003432,0,42.0,105.94394734889205,198.27347915019212,41.3371785823187
109799,-121.88077448532243,49.121183247607775,-121.886761000262,49.1203559999308,0,42.0,14.883082111975456,549.1461323317233,114.14613233172324
109808,-121.87053646766034,49.135432985027414,-121.874115000118,49.1377210000491,0,72.0,20.023412496716574,115.03600121452509,3.0360012145250916
107858,-121.81254363976241,49.14529496730127,-121.819232999981,49.1550380002224,0,0.0,48.943575063363056,119.19371486824835,79.71993074028984
113846,-121.85663966344801,49.08973626264288,-121.85915000031,49.0921000001617,0,0.0,93.1756705219064,733.2767536322976,534.2767536322976
110970,-121.827407562285,49.130295189487654,-121.824646999732,49.1302920001473,0,42.0,57.3177613762744,173.15048321375417,88.65048321375419
110974,-121.827407562285,49.130295189487654,-121.826003999742,49.1308460003435,0,42.0,62.08245015750605,217.84999958788075,10.84999958788074
117974,-121.81254363976241,49.14529496730127,-121.81082999993,49.1479400001245,0,0.0,28.318393759565414,11.459115979907107,151.81889517137813
117571,-121.85651322479055,49.14924475086882,-121.854549999476,49.1483699996047,0,6.0,63.72360482147901,106.4491923086022,8.949192308602212
1222,-121.94006754936103,49.183395844835786,-121.94339599964,49.1833180000786,0,0.0,54.837467249721975,37.5054212030382,12.505421203038207
14681,-121.96494089202754,49.16536336179242,-121.965327000346,49.1667850000141,0,0.0,95.45010010694865,-0.23660770454708802,7.632549401446626
11703,-121.96494089202754,49.16536336179242,-121.963911000302,49.1708470003778,0,0.0,76.2921231150416,31.601408195374887,3.6014081953748858
15933,-121.91876644601979,49.2014591981627,-121.924103999844,49.2117090004206,0,0.0,62.56225015140653,30.3182961929974,12.3182961929974
26420,-121.94798940266995,49.16703625420108,-121.952031000567,49.1552309995966,0,0.0,73.46518923463698,105.68955440151124,9.689554401511243
32504,-121.94865637218373,49.19602278148997,-121.950997000451,49.1989759998252,0,0.0,52.75079992169194,67.38975598527946,14.389755985279464
30352,-121.96494089202754,49.16536336179242,-121.968292000295,49.1680069999472,0,0.0,85.3496260029871,38.80011692383272,8.80011692383272
31342,-121.94006754936103,49.183395844835786,-121.93430400022,49.1881549998073,0,0.0,52.59004077351819,380.0402849933301,15.865180303350712
37212,-121.94006754936103,49.183395844835786,-121.930670000525,49.1759410003376,0,0.0,64.62097900182746,41.04027216300963,10.040272163009629
37464,-121.89002091085905,49.156115462010625,-121.886227000003,49.153994999825,0,0.0,10.623190719422123,44.13656668065629,5.13656668065629
38000,-121.88077448532243,49.121183247607775,-121.893538999538,49.1323579997447,0,0.0,16.71024254500128,60.42189849309338,5.42189849309338
41595,-121.89284570202601,49.19405538159894,-121.895517999394,49.1956339996016,0,0.0,42.108262346961965,39.988534440711774,15.988534440711774
41778,-121.93968962295803,49.199218860665866,-121.93487599957,49.2017700001889,0,0.0,50.29505723032852,38.58891938127153,19.58891938127153
40084,-121.91876644601979,49.2014591981627,-121.915331999522,49.2047369997817,0,0.0,64.13451429247526,39.21549785618759,10.215497856187593
40316,-121.89002091085905,49.156115462010625,-121.889331,49.1592870002348,0,0.0,20.725950589517495,63.05696335179373,30.05696335179373
46435,-121.90270242451872,49.182016263815676,-121.904995000174,49.1804500004493,0,0.0,46.21145876230131,97.10834288585926,8.108342885859258
47649,-121.94798940266995,49.16703625420108,-121.946597999735,49.1637100002696,0,0.0,63.34018481734665,104.16396470785278,7.353302402113194
47850,-121.91876644601979,49.2014591981627,-121.922526000585,49.1952419997035,0,0.0,61.83395265029754,35.673698574218655,8.673698574218658
47243,-121.94798940266995,49.16703625420108,-121.943936000064,49.1637479997989,0,0.0,61.38664123951886,125.62801547657726,3.6280154765772616
44738,-121.90309605731646,49.19753723939428,-121.911499999958,49.1910999997245,0,0.0,61.80207626591533,61.31552927453422,14.315529274534217
44755,-121.89002091085905,49.156115462010625,-121.894488999595,49.1561879998984,0,0.0,22.4366967619255,45.175859535292744,2.1758595352927443
44279,-121.94080665361831,49.146047596432226,-121.951834000066,49.1541770000343,0,0.0,71.64679610290003,26.20902843096278,8.667680052188574
50580,-121.9033202535242,49.14583140164333,-121.905748999439,49.1443939997063,0,0.0,34.02204766069616,78.37367956049405,2.373679560494047
52246,-121.90270242451872,49.182016263815676,-121.904089000454,49.1798300004102,0,0.0,46.60442984309498,103.62283295341824,12.622832953418234
49505,-121.94798940266995,49.16703625420108,-121.945117000344,49.1637230001466,0,0.0,63.260769521090545,140.49647253356318,7.249760487923467
50135,-121.91876644601979,49.2014591981627,-121.922005000527,49.1939600000959,0,0.0,62.61592788269672,64.59283857228104,19.59283857228104
55133,-121.90270242451872,49.182016263815676,-121.895443999838,49.1792440000878,0,0.0,37.553380708825436,54.54978871277355,8.549788712773546
56190,-121.91876644601979,49.2014591981627,-121.914787000217,49.2058020004241,0,0.0,63.12016023485508,42.24065300707855,5.240653007078549
55170,-121.93968962295803,49.199218860665866,-121.933284000693,49.1985709997206,0,0.0,51.78609964281168,49.732177972959846,46.732177972959846
55794,-121.94080665361831,49.146047596432226,-121.936431000341,49.1484860004219,0,0.0,74.08714638332816,103.57325360525553,7.073253605255528
52513,-121.9033202535242,49.14583140164333,-121.905155999938,49.1470149999387,0,0.0,33.11953820360904,88.63432265913616,2.6343226591361644
53665,-121.90309605731646,49.19753723939428,-121.908713999775,49.1941589995937,0,0.0,60.51344561390543,62.06377063208815,14.063770632088152
53666,-121.90270242451872,49.182016263815676,-121.914132999404,49.1892710001015,0,0.0,61.43289059228057,41.00881309966605,11.008813099666053
52500,-121.94006754936103,49.183395844835786,-121.94485900012,49.1835830004188,0,0.0,56.714343835520815,50.99840841692803,12.998408416928026
57315,-121.9632947549948,49.19158104759962,-121.961766999445,49.1933519998273,0,0.0,46.90023396065452,81.97356173690343,9.973561736903433
76078,-121.94865637218373,49.19602278148997,-121.952344999981,49.1942840003792,0,0.0,55.03629077585337,62.066416344766594,10.066416344766592
76128,-121.93968962295803,49.199218860665866,-121.938047999608,49.1921470001597,0,0.0,52.534565921401,68.19085538629602,10.190855386296017
76129,-121.8996965943131,49.21061894283379,-121.903933999977,49.209234999994,0,0.0,50.22337048518418,62.50344524652,9.503445246519998
76190,-121.9033202535242,49.14583140164333,-121.918260999556,49.1465719995892,0,0.0,63.943678929500365,80.64575586541923,4.645755865419231
72417,-121.88487476388094,49.199039445976595,-121.882225999881,49.201326999901,0,0.0,52.192561826484535,64.77423514805098,11.774235148050982
92163,-121.90270242451872,49.182016263815676,-121.912409999416,49.1808169995393,0,72.0,59.82375693155327,115.47986374885095,7.479863748850945
91135,-121.91876644601979,49.2014591981627,-121.912040000609,49.2077459999212,0,6.0,62.213408814292826,42.17295191395002,11.56731062760241
91147,-121.90309605731646,49.19753723939428,-121.903788000343,49.1940940000174,0,6.0,51.871723206486216,44.46774300039382,11.498456897216721
91210,-121.89284570202601,49.19405538159894,-121.890657999801,49.1962889995571,0,6.0,38.155460721661306,41.84659718667098,8.846597186670976
88990,-121.98824418663968,49.10486586844265,-121.982399999647,49.1027339996887,0,0.0,83.40120501608713,194.62489291322245,34.21926417747191
89631,-121.88834368113596,49.209518712804055,-121.89413800035,49.2101220002311,0,0.0,48.03388851772862,53.98974758532262,9.4526294387571
89634,-121.91876644601979,49.2014591981627,-121.922219999765,49.1941780002035,0,6.0,62.4106660766347,56.46882595692361,16.53749535858002
89638,-121.91876644601979,49.2014591981627,-121.916231999747,49.2106730001384,0,6.0,65.50345165722568,37.89867695532851,13.624006761739283
95322,-121.91876644601979,49.2014591981627,-121.927754999797,49.2010030003453,0,6.0,63.24122478345974,27.233117023603718,12.733117023603718
95323,-121.91876644601979,49.2014591981627,-121.910810000392,49.2081040000824,0,6.0,62.43746294313924,27.371349318082498,8.371349318082498
95324,-121.89284570202601,49.19405538159894,-121.891043000194,49.1993340002632,0,0.0,36.2223026839522,25.71440596086436,12.214405960864362
