pca1,pca2,pca3,pca4,pca5,pca6,pca7,latitude,longitude,well_tag_number
43717.0368083431,6469.13154867773,736.921042196508,-67.42208837336264,31.978176674311165,0.6088012926369414,2.092147546795743,50.112621,-125.361043,88292
-17006.99131811973,383.7093233884092,-400.84293744692286,279.06542908152994,7.13534569279146,1.6609001719738132,0.9194544112393708,49.102024,-122.77839,27620
12325.530220039382,-714.14151690117,-266.43937290520955,-70.24418010736825,27.2226818859658,1.8878742746741264,-0.6610243604068003,49.237301,-124.067193,56960
-28682.77283790308,777.4099624560486,669.9894659369876,33.548995100425074,4.501994204514532,0.1783103218533278,0.7980546920587425,49.211743,-122.437334,15940
-20201.635348445965,544.1124301914572,440.33584762376785,2.111061189120748,4.921314958887158,0.12961542035527254,0.8351664055111537,49.144013,-122.352554,24423
9078.8136381095,2197.9666709271096,-89.79280210325186,-1.9065859155751328,-20.66936839395011,-1.1887193019029187,-0.17400748244220174,52.116028,-121.917454,53690
56600.964322140324,-48.44812028365313,-514.8259288209874,-87.93778494422475,9.122907471659438,0.4016725100430794,0.8148694726872264,49.157381,-122.397558,101229
13897.279742096238,2640.112427530908,-241.50411200047085,44.232713664765676,-11.288428884884873,0.3222010463465215,-2.3060426521765285,53.889833,-124.013992,58505
40194.19689619505,-1489.0013381018314,-315.60042292776643,-48.06800719581436,19.32493008329413,2.139382352044063,-0.2407015468063996,48.683122,-123.65036200000002,84834
24240.802010349027,-1215.0257426446494,-307.83013237453486,122.44046057045765,21.47123804583001,2.4974476444695197,-0.17375685188641826,48.715085,-123.579646,68879
-15136.847944145233,746.7327716448214,-372.5361648256748,-119.53986158005108,8.015215428382934,0.2190372809082324,0.8776027705807681,49.315176,-122.926059,29487
3155.1030157383625,-3503.3611171580683,-204.28654986119244,-79.3923818805183,17.287338708954408,-1.6626867380669317,-1.0988218698541041,49.413679,-119.57323999999998,47812
5634.441159600389,-2876.952129771453,39.448361068366204,29.82397609575992,-10.246934735532783,-5.3721193981691755,1.0575024461973253,49.222541,-115.208293,50286
29618.78208738481,-523.578751754393,-98.25566690232628,43.94007745628871,-15.671988267171187,3.333408506933884,-0.3051161482267101,49.70677,-124.86448,74251
3769.641336896802,-313.53477037032053,-67.08240186814771,70.99525672868546,-15.823627311614304,3.32692220875332,-0.31488697382087977,49.75745300000001,-124.959884,48401
37764.6091955908,-3592.398302773309,672.372972695833,5.758923112793212,14.932407151420431,-1.539850230947552,-1.6807495409198057,49.81503,-119.384116,82420
-36762.54430111639,-2338.456205845322,113.02197020002032,-7.3065533887682275,-10.14153888841234,-5.264127829695947,0.6267689683357686,49.690512,-115.94356299999998,7886
-9401.380800250887,-762.3190196320468,-131.42617926160085,-91.22007437337992,-15.645603887008946,1.5655094183202778,0.7367234144351197,48.867155,-123.352292,35234
-15935.853013643184,3363.4851539514925,-195.4796254304404,-8.580115907433497,-10.485053933704494,-0.27867889909774113,-1.9959412809774804,53.97341899999999,-123.986747,28667
-14662.156647173784,-2998.643863059143,41.38683864668819,-48.30770447751228,-10.801678199982442,-4.802533756442746,0.9038444399941288,49.08435,-116.095038,29991
-28312.85012312906,-917.0617695680664,179.93248861129916,-44.335109997672674,6.707513996803382,1.53906718003521,0.1701829331623146,48.630932,-123.415858,16324
13772.299552272774,-2397.527427540945,-141.21964906009623,13.702533456971556,6.414771850556856,-2.0086604272477997,-0.9935650680745544,50.243054,-119.342685,58420
-12598.1927833883,-726.9129988489093,-126.82068383447809,-102.5044897020967,-15.640176583867731,1.470304541947771,0.7490527826654161,48.87527,-123.324392,32037
-37464.3858335448,-528.8435647675154,-95.49837184379385,-103.20935775827525,-15.783033154561233,1.2887403519726164,0.8071852756913466,48.877317,-123.319536,7170
8089.758696644882,131.87040895697191,235.31591273813274,-40.22388446264753,1.2688538610441311,1.6333421361950269,0.4624042537069818,49.128421,-123.729336,52717
