pca1,pca2,pca3,pca4,pca5,pca6,pca7
-17006.99132,383.7093234,-400.8429374,279.0654291,7.135345693,1.660900172,0.919454411
12325.53022,-714.1415169,-266.4393729,-70.24418011,27.22268189,1.887874275,-0.66102436
-28682.77284,777.4099625,669.9894659,33.5489951,4.501994205,0.178310322,0.798054692
-20201.63535,544.1124302,440.3358476,2.111061189,4.921314959,0.12961542,0.835166406
9078.813638,2197.966671,-89.7928021,-1.906585916,-20.66936839,-1.188719302,-0.174007482
56600.96432,-48.44812028,-514.8259288,-87.93778494,9.122907472,0.40167251,0.814869473
13897.27974,2640.112428,-241.504112,44.23271366,-11.28842888,0.322201046,-2.306042652
40194.1969,-1489.001338,-315.6004229,-48.0680072,19.32493008,2.139382352,-0.240701547
24240.80201,-1215.025743,-307.8301324,122.4404606,21.47123805,2.497447644,-0.173756852
-15136.84794,746.7327716,-372.5361648,-119.5398616,8.015215428,0.219037281,0.877602771
3155.103016,-3503.361117,-204.2865499,-79.39238188,17.28733871,-1.662686738,-1.09882187
5634.44116,-2876.95213,39.44836107,29.8239761,-10.24693474,-5.372119398,1.057502446
29618.78209,-523.5787518,-98.2556669,43.94007746,-15.67198827,3.333408507,-0.305116148
3769.641337,-313.5347704,-67.08240187,70.99525673,-15.82362731,3.326922209,-0.314886974
37764.6092,-3592.398303,672.3729727,5.758923113,14.93240715,-1.539850231,-1.680749541
-36762.5443,-2338.456206,113.0219702,-7.306553389,-10.14153889,-5.26412783,0.626768968
-9401.3808,-762.3190196,-131.4261793,-91.22007437,-15.64560389,1.565509418,0.736723414
-15935.85301,3363.485154,-195.4796254,-8.580115907,-10.48505393,-0.278678899,-1.995941281
-14662.15665,-2998.643863,41.38683865,-48.30770448,-10.8016782,-4.802533756,0.90384444
-28312.85012,-917.0617696,179.9324886,-44.33511,6.707513997,1.53906718,0.170182933
13772.29955,-2397.527428,-141.2196491,13.70253346,6.414771851,-2.008660427,-0.993565068
-12598.19278,-726.9129988,-126.8206838,-102.5044897,-15.64017658,1.470304542,0.749052783
-37464.38583,-528.8435648,-95.49837184,-103.2093578,-15.78303315,1.288740352,0.807185276
8089.758697,131.870409,235.3159127,-40.22388446,1.268853861,1.633342136,0.462404254
-24149.52735,4777.926917,29.06587098,-119.0893589,22.47222151,-5.000974635,-3.429912089
-10403.72565,-2048.569354,684.3620271,195.3182533,4.004808246,-1.697174771,-1.203152234
-24109.98136,-2301.922367,11.80246552,21.18282815,-9.555272286,-5.355497932,0.050077343
16708.54393,2293.237869,-331.3595315,-82.86525967,-19.54487004,-1.204791091,-0.082937408
-15109.26878,85.95867334,-414.4185539,153.1578295,6.685495337,1.203487487,0.844468929
